country_name,year,happiness_score,social_support,freedom_to_make_life_choices,healthy_life_expectancy_at_birth
Canada,2005,7.418048382,0.961552441,0.957306266,70.5
Canada,2007,7.481752872,,0.930341303,70.62000275
Canada,2008,7.485603809,0.938707411,0.92631495,70.68000031
Canada,2009,7.48782444,0.94284451,0.915057838,70.73999786
Canada,2010,7.650346279,0.953765452,0.933948815,70.80000305
Canada,2011,7.426053524,0.921669245,0.950925291,70.86000061
Canada,2012,7.415144444,0.948128343,0.917961121,70.91999817
Canada,2013,7.593793869,0.936239362,0.916013896,70.98000336
Canada,2014,7.30425787,0.917836308,0.93889761,71.04000092
Canada,2015,7.412772655,0.939067066,0.931468964,71.09999847
Canada,2016,7.244845867,0.924392521,0.912423909,71.15000153
Canada,2017,7.414868355,0.93374896,0.945145011,71.19999695
Canada,2018,7.175496578,0.922718763,0.9457829,71.25
Canada,2019,7.1090765,0.925303996,0.911525607,71.30000305
Canada,2020,7.024904728,0.930610716,0.8868922,71.34999847
Canada,2021,6.939435482,0.926076412,0.898229182,71.40000153
